ID,GEO_POINT_2D,GEO_SHAPE,NAME,ETICHETTA,NOTETESTO,NUMEROANTICO,NUMEROMODERNO,LINK1,LINK2,LINK3,PIANI,ARCATE,ARCHITRAVATE,ARCHITRAVATE_CON_COLONNE_DI_LEGNO,ARCHIVOLTI,MODIGLIONI,MENSOLONI_ARCHITRAVATI,STALLA_E,FIENILE_I,RIMESSA_E,SCUDERIA_E,ATTIVITA_COMMERCIALI_PRODUTTIVE_1,ATTIVITA_COMMERCIALI_PRODUTTIVE_2,ATTIVITA_COMMERCIALI_PRODUTTIVE_3,ATTIVITA_COMMERCIALI_PRODUTTIVE_4,ATTIVITA_COMMERCIALI_PRODUTTIVE_5
64,"44.4900734874, 11.3356064268","{""type"": ""Polygon"", ""coordinates"": [[[11.335675, 44.490159, 0], [11.335567, 44.490148, 0], [11.335537, 44.49, 0], [11.33564, 44.489988, 0], [11.335659, 44.490058, 0], [11.335567, 44.490068, 0], [11.335571, 44.490095, 0], [11.335667, 44.490085, 0], [11.335675, 44.490159, 0]]]}",Casa Ferrari,Casa,-,145,18,http://www.originebologna.com/strade/via-saragozza/n-145,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,"44.4900356713, 11.3355430863","{""type"": ""Polygon"", ""coordinates"": [[[11.335521, 44.490143, 0], [11.335485, 44.489976, 0], [11.335632, 44.489957, 0], [11.33564, 44.489988, 0], [11.335537, 44.49, 0], [11.335567, 44.490148, 0], [11.335521, 44.490143, 0]]]}",Casa Ferrari,Casa,-,145,18,http://www.originebologna.com/strade/via-saragozza/n-145,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,"44.4900724626, 11.3357078771","{""type"": ""Polygon"", ""coordinates"": [[[11.335675, 44.490159, 0], [11.335667, 44.490085, 0], [11.335659, 44.490058, 0], [11.335632, 44.489957, 0], [11.335675, 44.489954, 0], [11.335685, 44.490007, 0], [11.335748, 44.490003, 0], [11.33578, 44.490169, 0], [11.335675, 44.490159, 0]]]}",-,Casa,-,144,16,http://www.originebologna.com/strade/via-saragozza/n-144,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"44.4961549253, 11.3495126205","{""type"": ""Polygon"", ""coordinates"": [[[11.349317, 44.496087, 0], [11.349403, 44.496048, 0], [11.34946, 44.496013, 0], [11.349628, 44.496137, 0], [11.349585, 44.496167, 0], [11.349711, 44.49626, 0], [11.34962, 44.496307, 0], [11.349491, 44.496218, 0], [11.349466, 44.496195, 0], [11.349444, 44.496203, 0], [11.349317, 44.496087, 0]]]}",-,Casa,-,2756,38,http://www.originebologna.com/strade/via-di-mezzo-di-san-martino/n-2756,http://www.originebologna.com/torri/castello-da-o-castelli,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,"44.4909160944, 11.3413945141","{""type"": ""Polygon"", ""coordinates"": [[[11.341485, 44.490811, 0], [11.341532, 44.490915, 0], [11.341573, 44.491053, 0], [11.341459, 44.491065, 0], [11.341447, 44.491011, 0], [11.341374, 44.491013, 0], [11.341359, 44.490901, 0], [11.341188, 44.490912, 0], [11.341129, 44.490914, 0], [11.341116, 44.490886, 0], [11.34117, 44.490872, 0], [11.341158, 44.490844, 0], [11.34117, 44.490836, 0], [11.341245, 44.49083, 0], [11.341245, 44.490841, 0], [11.341308, 44.490838, 0], [11.341309, 44.490818, 0], [11.341485, 44.490811, 0]]]}",Casa anticamente dei Carbonesi,Casa,Casa Aldrovandini,104,27,http://www.originebologna.com/strade/san-mamolo/n-104,http://www.originebologna.com/torri/carbonesi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,"44.4949676317, 11.3478439266","{""type"": ""Polygon"", ""coordinates"": [[[11.347539, 44.495033, 0], [11.34765, 44.494892, 0], [11.347705, 44.494789, 0], [11.347879, 44.49483, 0], [11.347896, 44.494782, 0], [11.34795, 44.494787, 0], [11.34795, 44.494824, 0], [11.34799, 44.494832, 0], [11.34798, 44.494864, 0], [11.348161, 44.4949, 0], [11.348139, 44.494941, 0], [11.348015, 44.495051, 0], [11.347925, 44.49517, 0], [11.347539, 44.495033, 0]]]}",-,Casa,-,2490,9,http://www.originebologna.com/strade/strada-san-donato/n-2489-2490-case-bianchetti,http://www.originebologna.com/torri/calamatoni,-,2,7,-,-,-,-,-,-,-,-,-,Barbiere,Bottega,-,-,-
4,"44.4942900855, 11.3492219384","{""type"": ""Polygon"", ""coordinates"": [[[11.34907, 44.494414, 0], [11.349053, 44.494295, 0], [11.349046, 44.49426, 0], [11.349147, 44.494246, 0], [11.349137, 44.494158, 0], [11.349299, 44.49413, 0], [11.349317, 44.494166, 0], [11.349405, 44.494389, 0], [11.34907, 44.494414, 0]]]}",-,Casa,-,114,15,http://www.originebologna.com/strade/strada-san-vitale/n-114,http://www.originebologna.com/torri/brancucci,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"44.4972029744, 11.342759178","{""type"": ""Polygon"", ""coordinates"": [[[11.342788, 44.497309, 0], [11.34278, 44.497245, 0], [11.34267, 44.497254, 0], [11.342665, 44.497131, 0], [11.342802, 44.497107, 0], [11.342823, 44.497168, 0], [11.342787, 44.497175, 0], [11.34279, 44.497215, 0], [11.342851, 44.497215, 0], [11.342854, 44.49723, 0], [11.342859, 44.497266, 0], [11.342865, 44.497301, 0], [11.342788, 44.497309, 0]]]}",-,Casa,-,1814,1/1 su via dei Corighi. 1 via Monari,http://www.originebologna.com/strade/via-monari/n-1814,http://www.originebologna.com/torri/bonromei,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,"44.492194234, 11.340404788","{""type"": ""Polygon"", ""coordinates"": [[[11.34033, 44.49226, 0], [11.34029, 44.492175, 0], [11.340407, 44.492143, 0], [11.34048, 44.492124, 0], [11.340513, 44.492222, 0], [11.34033, 44.49226, 0]]]}",-,Casa,-,1433,2,http://www.originebologna.com/strade/val-d-aposa/1433-2,http://www.originebologna.com/torri/benacci,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,"44.4930976251, 11.3500146423","{""type"": ""Polygon"", ""coordinates"": [[[11.349832, 44.493002, 0], [11.34997, 44.492954, 0], [11.350017, 44.493014, 0], [11.350095, 44.492983, 0], [11.350044, 44.492924, 0], [11.350073, 44.492914, 0], [11.350143, 44.493092, 0], [11.350167, 44.493142, 0], [11.350181, 44.493191, 0], [11.349939, 44.493276, 0], [11.349925, 44.493218, 0], [11.350028, 44.493186, 0], [11.34999, 44.493117, 0], [11.349891, 44.493134, 0], [11.349832, 44.493002, 0]]]}",Casa Schiappa,Casa,-,240,32 Strada Maggiore,http://www.originebologna.com/strade/strada-maggiore/n-240,http://www.originebologna.com/torri/basacomare,-,2,5,-,-,-,-,-,1,1,-,-,-,-,-,-,-
8,"44.492437793, 11.3505200465","{""type"": ""Polygon"", ""coordinates"": [[[11.350678, 44.492518, 0], [11.35051, 44.492572, 0], [11.350339, 44.492334, 0], [11.350383, 44.492314, 0], [11.350443, 44.492407, 0], [11.350517, 44.49238, 0], [11.350458, 44.492287, 0], [11.350501, 44.492273, 0], [11.350575, 44.492364, 0], [11.350678, 44.492518, 0]]]}",Antica Casa dei Banzi,Casa,-,271,33,http://www.originebologna.com/strade/strada-maggiore/n-271,http://www.originebologna.com/torri/banzi,-,2,3,-,-,-,-,-,-,-,-,-,Bottega,Bottega,Bottega,Bottega,Bottega
9,"44.497094647, 11.3439184708","{""type"": ""Polygon"", ""coordinates"": [[[11.344057, 44.497187, 0], [11.343869, 44.497214, 0], [11.343869, 44.497222, 0], [11.34382, 44.497228, 0], [11.343765, 44.497012, 0], [11.344038, 44.496971, 0], [11.344072, 44.497053, 0], [11.344024, 44.497062, 0], [11.344057, 44.497187, 0]]]}",-,Casa,-,"1673,1674","6,8",http://www.originebologna.com/strade/via-monari/n-1673,http://www.originebologna.com/strade/via-monari/n-1674,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,"44.4974324237, 11.3379638483","{""type"": ""Polygon"", ""coordinates"": [[[11.337935, 44.497492, 0], [11.337886, 44.497386, 0], [11.337983, 44.497365, 0], [11.338029, 44.497463, 0], [11.338048, 44.4975, 0], [11.338023, 44.497506, 0], [11.338006, 44.497475, 0], [11.337935, 44.497492, 0]]]}",Casa Natale di Luigi Galvani,Casa,-,1410,-,http://www.originebologna.com/strade/borgo-delle-casse/nn-1347-1348,http://www.originebologna.com/strade/via-maggi/n-1410,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
11,"44.4979392673, 11.3474900184","{""type"": ""Polygon"", ""coordinates"": [[[11.3473, 44.497908, 0], [11.347525, 44.497801, 0], [11.347522, 44.497886, 0], [11.347638, 44.498026, 0], [11.347545, 44.49808, 0], [11.347409, 44.497916, 0], [11.347344, 44.497941, 0], [11.3473, 44.497908, 0]]]}",-,Casa,-,"2031, 2476","10 via delle Moline, 10 via Mentana",http://www.originebologna.com/strade/via-delle-moline/n-2031,http://www.originebologna.com/strade/via-larga-di-san-martino/n-2476,-,2,-,-,-,-,-,-,-,-,-,-,Forno,-,-,-,-
