ID,GEO_POINT_2D,GEO_SHAPE,NAME,ETICHETTA,NOTETESTO,NUMEROANTICO,NUMEROMODERNO,LINK1,LINK2,LINK3,PIANI,ARCATE,ARCHITRAVATE,ARCHITRAVATE_CON_COLONNE_DI_LEGNO,ARCHIVOLTI,MODIGLIONI,MENSOLONI_ARCHITRAVATI,STALLA_E,FIENILE_I,RIMESSA_E,SCUDERIA_E,ATTIVITA_COMMERCIALI_PRODUTTIVE_1,ATTIVITA_COMMERCIALI_PRODUTTIVE_2,ATTIVITA_COMMERCIALI_PRODUTTIVE_3,ATTIVITA_COMMERCIALI_PRODUTTIVE_4,ATTIVITA_COMMERCIALI_PRODUTTIVE_5
174,"44.4939522378, 11.3468028531","{""type"": ""Polygon"", ""coordinates"": [[[11.346893, 44.493976, 0], [11.346792, 44.494013, 0], [11.346707, 44.493918, 0], [11.346746, 44.493897, 0], [11.346774, 44.493928, 0], [11.346834, 44.493897, 0], [11.346893, 44.493976, 0]]]}",-,Casa,-,255,1,http://www.originebologna.com/strade/strada-maggiore/n-255,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
175,"44.4931473152, 11.3498209893","{""type"": ""Polygon"", ""coordinates"": [[[11.349708, 44.493052, 0], [11.349832, 44.493002, 0], [11.349899, 44.493157, 0], [11.349816, 44.493172, 0], [11.349852, 44.49324, 0], [11.349925, 44.493218, 0], [11.349939, 44.493276, 0], [11.349837, 44.49331, 0], [11.349811, 44.493252, 0], [11.349767, 44.493178, 0], [11.349708, 44.493052, 0]]]}",-,Casa,-,241,30,http://www.originebologna.com/strade/strada-maggiore/n-241,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
176,"44.492181628, 11.3521913279","{""type"": ""Polygon"", ""coordinates"": [[[11.352121, 44.492139, 0], [11.352169, 44.49212, 0], [11.352262, 44.492223, 0], [11.352212, 44.492243, 0], [11.352121, 44.492139, 0]]]}",-,Casa,-,233,-,http://www.originebologna.com/strade/strada-maggiore/n-233,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,"44.4915801866, 11.3538186332","{""type"": ""Polygon"", ""coordinates"": [[[11.353793, 44.491482, 0], [11.353925, 44.491652, 0], [11.353854, 44.49168, 0], [11.35371, 44.491516, 0], [11.353793, 44.491482, 0]]]}",-,Casa,-,223,-,http://www.originebologna.com/strade/strada-maggiore/n-223,-,-,1,1,-,-,-,-,-,-,-,-,-,Bottega,-,-,-,-
67,"44.4906575259, 11.3355143965","{""type"": ""Polygon"", ""coordinates"": [[[11.335419, 44.490719, 0], [11.335404, 44.490658, 0], [11.335381, 44.490662, 0], [11.33538, 44.490645, 0], [11.335476, 44.490636, 0], [11.335473, 44.490602, 0], [11.3356, 44.490589, 0], [11.335619, 44.490696, 0], [11.335435, 44.490718, 0], [11.335419, 44.490719, 0]]]}",-,Casa,-,"604,605","19,21",-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,"44.4901994219, 11.3367771851","{""type"": ""Polygon"", ""coordinates"": [[[11.336725, 44.49029, 0], [11.336728, 44.49014, 0], [11.336759, 44.490136, 0], [11.33676, 44.490073, 0], [11.336819, 44.490074, 0], [11.336795, 44.490091, 0], [11.336798, 44.490138, 0], [11.336833, 44.490142, 0], [11.336819, 44.490299, 0], [11.336725, 44.49029, 0]]]}",-,Casa,-,138,6,http://www.originebologna.com/strade/via-saragozza/n-138,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,"44.4901338184, 11.3370515281","{""type"": ""Polygon"", ""coordinates"": [[[11.337109, 44.490341, 0], [11.337061, 44.490335, 0], [11.336949, 44.489918, 0], [11.337022, 44.489904, 0], [11.337161, 44.490338, 0], [11.337109, 44.490341, 0]]]}",Casa dei Maggi,Casa,-,137,"4, 2 su Altaseta",http://www.originebologna.com/strade/via-saragozza/n-137,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,"44.5006016853, 11.3408969819","{""type"": ""Polygon"", ""coordinates"": [[[11.340786, 44.500646, 0], [11.340775, 44.500618, 0], [11.341015, 44.500558, 0], [11.341026, 44.500581, 0], [11.340786, 44.500646, 0]]]}",-,Casa,-,1179,45,http://www.originebologna.com/strade/via-nuova-di-san-carlo/n-1179,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,"44.4998896097, 11.3406436983","{""type"": ""Polygon"", ""coordinates"": [[[11.340464, 44.500026, 0], [11.340377, 44.499855, 0], [11.340479, 44.499829, 0], [11.34051, 44.499882, 0], [11.340527, 44.499874, 0], [11.340503, 44.499825, 0], [11.340592, 44.499804, 0], [11.34062, 44.499843, 0], [11.340698, 44.499822, 0], [11.340683, 44.499786, 0], [11.340786, 44.499762, 0], [11.340809, 44.499785, 0], [11.340836, 44.499785, 0], [11.340864, 44.499863, 0], [11.340888, 44.499856, 0], [11.340919, 44.499927, 0], [11.340781, 44.499961, 0], [11.340769, 44.499946, 0], [11.340736, 44.499951, 0], [11.340706, 44.499868, 0], [11.340629, 44.499889, 0], [11.340672, 44.499973, 0], [11.340589, 44.499991, 0], [11.340546, 44.499905, 0], [11.340521, 44.499911, 0], [11.340566, 44.499998, 0], [11.340464, 44.500026, 0]]]}",Casa Carracci,Casa,-,"1164,1165,1166",19,http://www.originebologna.com/strade/via-nuova-di-san-carlo/n-1164,-,-,-,4,-,-,-,-,-,-,-,-,-,Fabbro,-,-,-,-
72,"44.4973113645, 11.343459648","{""type"": ""Polygon"", ""coordinates"": [[[11.343378, 44.497414, 0], [11.343319, 44.497247, 0], [11.343531, 44.497209, 0], [11.343541, 44.497235, 0], [11.343576, 44.497229, 0], [11.343592, 44.497254, 0], [11.343523, 44.497269, 0], [11.343538, 44.497324, 0], [11.343618, 44.497307, 0], [11.343627, 44.497348, 0], [11.343555, 44.497361, 0], [11.343561, 44.497386, 0], [11.343378, 44.497414, 0]]]}",-,Casa,-,1794,-,http://www.originebologna.com/strade/via-malcontenti/n-1794,-,-,1,-,3,-,-,-,-,-,-,-,-,Calzolaio,-,-,-,-
73,"44.4973207446, 11.3476561783","{""type"": ""Polygon"", ""coordinates"": [[[11.347557, 44.497296, 0], [11.347697, 44.497254, 0], [11.347768, 44.497253, 0], [11.347767, 44.497267, 0], [11.347716, 44.49727, 0], [11.347709, 44.497322, 0], [11.347694, 44.497399, 0], [11.347635, 44.497395, 0], [11.347557, 44.497296, 0]]]}",-,Casa,-,1478,5 via Mentana,http://www.originebologna.com/strade/via-larga-di-san-martino/n-1478,-,-,2,-,-,-,-,-,-,-,-,-,-,Farmacia,-,-,-,-
74,"44.4971380576, 11.3400376654","{""type"": ""Polygon"", ""coordinates"": [[[11.339976, 44.497313, 0], [11.339949, 44.49722, 0], [11.339992, 44.497214, 0], [11.339984, 44.497184, 0], [11.33994, 44.497187, 0], [11.339922, 44.497115, 0], [11.339867, 44.497124, 0], [11.339856, 44.497082, 0], [11.339808, 44.497087, 0], [11.33978, 44.497025, 0], [11.339807, 44.49702, 0], [11.339815, 44.497045, 0], [11.340103, 44.496988, 0], [11.340085, 44.496948, 0], [11.340121, 44.496943, 0], [11.340141, 44.497013, 0], [11.340161, 44.497084, 0], [11.340177, 44.497165, 0], [11.340208, 44.49728, 0], [11.339976, 44.497313, 0]]]}",Casa Melloni,Casa,-,778,8,http://www.originebologna.com/strade/via-larga-di-san-giorgio/n-778,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,"44.4897417667, 11.3430552305","{""type"": ""Polygon"", ""coordinates"": [[[11.343018, 44.489819, 0], [11.34298, 44.489684, 0], [11.343109, 44.48967, 0], [11.343122, 44.489718, 0], [11.343095, 44.489723, 0], [11.343126, 44.489805, 0], [11.343018, 44.489819, 0]]]}",Casa abitata nel 1513 dagli eredi di Bartolomeo da Saliceto,Casa,-,994,19,http://www.originebologna.com/strade/via-larga-di-san-domenico/n-994,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,"44.4897575315, 11.3424566919","{""type"": ""Polygon"", ""coordinates"": [[[11.342445, 44.489886, 0], [11.342398, 44.489742, 0], [11.342362, 44.48961, 0], [11.342442, 44.489599, 0], [11.342476, 44.489723, 0], [11.342463, 44.489725, 0], [11.342484, 44.489803, 0], [11.342558, 44.489795, 0], [11.342581, 44.48987, 0], [11.342445, 44.489886, 0]]]}",-,Casa,-,992,15,http://www.originebologna.com/strade/via-larga-di-san-domenico/n-992,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,"44.4897276292, 11.3425774091","{""type"": ""Polygon"", ""coordinates"": [[[11.342581, 44.48987, 0], [11.342558, 44.489795, 0], [11.342484, 44.489803, 0], [11.342463, 44.489725, 0], [11.342591, 44.489705, 0], [11.342564, 44.489628, 0], [11.342457, 44.489643, 0], [11.342442, 44.489599, 0], [11.34261, 44.489576, 0], [11.342689, 44.489856, 0], [11.342581, 44.48987, 0]]]}",Casa - vari proprietari,Casa,-,992,-,http://www.originebologna.com/strade/via-larga-di-san-domenico/n-992,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,"44.4898057943, 11.3419434529","{""type"": ""Polygon"", ""coordinates"": [[[11.341882, 44.48993, 0], [11.341846, 44.489771, 0], [11.341834, 44.489706, 0], [11.341832, 44.489686, 0], [11.342016, 44.48966, 0], [11.342028, 44.489708, 0], [11.34193, 44.489726, 0], [11.341946, 44.489793, 0], [11.342043, 44.489782, 0], [11.342067, 44.489918, 0], [11.341882, 44.48993, 0]]]}",-,Casa,-,989,9,http://www.originebologna.com/strade/via-larga-di-san-domenico/n-989-990,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,"44.4898143601, 11.3416177715","{""type"": ""Polygon"", ""coordinates"": [[[11.341565, 44.489957, 0], [11.341477, 44.489684, 0], [11.341669, 44.489647, 0], [11.341694, 44.489732, 0], [11.34153, 44.489761, 0], [11.341555, 44.489831, 0], [11.341723, 44.489813, 0], [11.341766, 44.48994, 0], [11.341565, 44.489957, 0]]]}",-,Casa,-,987,5,http://www.originebologna.com/strade/via-larga-di-san-domenico/n-987,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,"44.4898879091, 11.3412826394","{""type"": ""Polygon"", ""coordinates"": [[[11.341146, 44.489954, 0], [11.341068, 44.489866, 0], [11.341312, 44.489797, 0], [11.341339, 44.489826, 0], [11.341371, 44.489816, 0], [11.341363, 44.489786, 0], [11.341416, 44.489776, 0], [11.341435, 44.489872, 0], [11.341376, 44.489889, 0], [11.341398, 44.489914, 0], [11.341443, 44.489903, 0], [11.341459, 44.489962, 0], [11.341363, 44.48997, 0], [11.341146, 44.489954, 0]]]}",Casa con Farmacia,Casa,-,"985,3","1 (via Marsili), 50 via San Mamolo",http://www.originebologna.com/strade/via-larga-di-san-domenico/n-985,-,-,4,-,-,-,-,-,-,-,-,-,-,Farmacia Sacchetti,-,-,-,-
81,"44.4991401561, 11.3427584076","{""type"": ""Polygon"", ""coordinates"": [[[11.342668, 44.499164, 0], [11.342639, 44.499103, 0], [11.342811, 44.499095, 0], [11.342865, 44.499182, 0], [11.342787, 44.499206, 0], [11.342759, 44.499155, 0], [11.342668, 44.499164, 0]]]}",-,Casa,-,1994/2,7,http://www.originebologna.com/strade/via-falegnami/n-1994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,"44.4937970797, 11.3501603847","{""type"": ""Polygon"", ""coordinates"": [[[11.349903, 44.493779, 0], [11.350018, 44.493745, 0], [11.350052, 44.493809, 0], [11.350147, 44.493798, 0], [11.350104, 44.493718, 0], [11.350152, 44.493705, 0], [11.350174, 44.4937, 0], [11.350186, 44.493729, 0], [11.350173, 44.493733, 0], [11.350187, 44.493764, 0], [11.350208, 44.493763, 0], [11.350284, 44.49374, 0], [11.350363, 44.493727, 0], [11.350377, 44.493802, 0], [11.350398, 44.493798, 0], [11.350404, 44.493823, 0], [11.350214, 44.493849, 0], [11.349967, 44.493863, 0], [11.349923, 44.493803, 0], [11.349903, 44.493779, 0]]]}",-,Casa,-,"918,919","5 via Leprosetti, 5 vicolo Fantuzzi",http://www.originebologna.com/strade/via-dietro-a-san-michele-dei-leprosetti/n-918,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,"44.4963327502, 11.3491872133","{""type"": ""Polygon"", ""coordinates"": [[[11.349156, 44.496157, 0], [11.349279, 44.496278, 0], [11.349247, 44.496295, 0], [11.349285, 44.496327, 0], [11.349317, 44.496312, 0], [11.349432, 44.496415, 0], [11.349215, 44.496521, 0], [11.349113, 44.496419, 0], [11.349215, 44.496366, 0], [11.349145, 44.496293, 0], [11.349033, 44.496347, 0], [11.348925, 44.496245, 0], [11.349156, 44.496157, 0]]]}",-,Casa,-,2754,34 via Marsala,http://www.originebologna.com/strade/via-di-mezzo-di-san-martino/n-2754,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,"44.4964144237, 11.3489994125","{""type"": ""Polygon"", ""coordinates"": [[[11.348925, 44.496245, 0], [11.349033, 44.496347, 0], [11.349043, 44.496362, 0], [11.349011, 44.496383, 0], [11.348957, 44.496413, 0], [11.349024, 44.496479, 0], [11.34907, 44.49645, 0], [11.349057, 44.496425, 0], [11.349097, 44.496406, 0], [11.349113, 44.496419, 0], [11.349215, 44.496521, 0], [11.349086, 44.496593, 0], [11.348987, 44.496492, 0], [11.348917, 44.496427, 0], [11.348783, 44.496299, 0], [11.348925, 44.496245, 0]]]}",-,Casa,-,2753,32 via Marsala,http://www.originebologna.com/strade/via-di-mezzo-di-san-martino/n-2753,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,"44.4964971621, 11.3488613816","{""type"": ""Polygon"", ""coordinates"": [[[11.348644, 44.49635, 0], [11.348783, 44.496299, 0], [11.348917, 44.496427, 0], [11.34888, 44.496448, 0], [11.348837, 44.496469, 0], [11.348904, 44.49654, 0], [11.348949, 44.496513, 0], [11.348987, 44.496492, 0], [11.349086, 44.496593, 0], [11.348925, 44.496702, 0], [11.348644, 44.49635, 0]]]}",-,Casa,-,"2752, 2758 (sulla parte chiusa di vicolo Facchini)",30 via Marsala,http://www.originebologna.com/strade/via-di-mezzo-di-san-martino/n-2752,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,"44.4965891808, 11.3487099037","{""type"": ""Polygon"", ""coordinates"": [[[11.348684, 44.49685, 0], [11.348655, 44.496752, 0], [11.348815, 44.496672, 0], [11.34874, 44.496593, 0], [11.3487, 44.496605, 0], [11.348732, 44.496643, 0], [11.34866, 44.49667, 0], [11.348614, 44.496643, 0], [11.348534, 44.496398, 0], [11.348644, 44.49635, 0], [11.348925, 44.496702, 0], [11.348684, 44.49685, 0]]]}",-,Casa,-,"2751, 2770, 2771, 2772","13 su vicolo Facchini, 28 via Marsala",http://www.originebologna.com/strade/via-di-mezzo-di-san-martino/n-2751,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,"44.4965374608, 11.3476257824","{""type"": ""Polygon"", ""coordinates"": [[[11.347626, 44.49667, 0], [11.347587, 44.49662, 0], [11.347561, 44.49657, 0], [11.347605, 44.496556, 0], [11.347585, 44.496521, 0], [11.347537, 44.496535, 0], [11.347514, 44.496493, 0], [11.347491, 44.496461, 0], [11.347561, 44.496436, 0], [11.347544, 44.4964, 0], [11.347604, 44.496379, 0], [11.347643, 44.49644, 0], [11.347598, 44.496458, 0], [11.347638, 44.496513, 0], [11.347679, 44.496497, 0], [11.347769, 44.496613, 0], [11.347626, 44.49667, 0]]]}",-,Casa,-,2738,39,http://www.originebologna.com/strade/via-di-mezzo-di-san-martino/n-2738,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,"44.4977491451, 11.3429958035","{""type"": ""Polygon"", ""coordinates"": [[[11.34305, 44.497682, 0], [11.343095, 44.497809, 0], [11.343082, 44.497812, 0], [11.342996, 44.497849, 0], [11.342982, 44.497757, 0], [11.342893, 44.497768, 0], [11.342881, 44.497693, 0], [11.34305, 44.497682, 0]]]}",-,Casa,-,1828,5,http://www.originebologna.com/strade/via-di-mezzo-di-san-martino/n-1828,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,"44.4976575341, 11.3448252087","{""type"": ""Polygon"", ""coordinates"": [[[11.344699, 44.49749, 0], [11.344829, 44.497468, 0], [11.344974, 44.497789, 0], [11.344948, 44.497795, 0], [11.34475, 44.497823, 0], [11.344732, 44.49775, 0], [11.344781, 44.497744, 0], [11.344699, 44.49749, 0]]]}",-,Casa,-,1776,"2 via Piella, 8 via Marsala",http://www.originebologna.com/strade/via-di-mezzo-di-san-martino/n-1776,-,-,2,-,-,-,-,-,-,-,-,-,-,Calzolaio,-,-,-,-
90,"44.4972953818, 11.3444307053","{""type"": ""Polygon"", ""coordinates"": [[[11.344406, 44.497479, 0], [11.344315, 44.497193, 0], [11.344244, 44.497203, 0], [11.344218, 44.497124, 0], [11.344276, 44.497114, 0], [11.344288, 44.497155, 0], [11.344372, 44.497144, 0], [11.344473, 44.497128, 0], [11.344595, 44.497458, 0], [11.344406, 44.497479, 0]]]}",-,Casa,-,"1782,1767","4 via del Fico, 9 via Marsala",http://www.originebologna.com/strade/via-di-mezzo-di-san-martino/n-1767,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,"44.4972793359, 11.3453494329","{""type"": ""Polygon"", ""coordinates"": [[[11.345471, 44.49731, 0], [11.345267, 44.497348, 0], [11.345238, 44.497219, 0], [11.345294, 44.497209, 0], [11.345315, 44.497278, 0], [11.345414, 44.497258, 0], [11.345399, 44.49719, 0], [11.345425, 44.497186, 0], [11.345461, 44.497275, 0], [11.345471, 44.49731, 0]]]}",-,Casa,La bottega di ciabattino e' su via Albiroli.,1763,17 via Marsala,http://www.originebologna.com/strade/via-di-mezzo-di-san-martino/n-1763,-,-,1,-,-,3,-,-,-,-,-,-,-,Ciabattino,Rigattiere,-,-,-
92,"44.5006196742, 11.3373786296","{""type"": ""Polygon"", ""coordinates"": [[[11.337425, 44.500672, 0], [11.337317, 44.50062, 0], [11.337334, 44.500601, 0], [11.337295, 44.500578, 0], [11.337322, 44.500562, 0], [11.337463, 44.50064, 0], [11.337425, 44.500672, 0]]]}",-,Casa,-,1266,34,http://www.originebologna.com/strade/via-delle-sette-case/nn-1266-1265-1264-1263,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,"44.4978641281, 11.3456220232","{""type"": ""Polygon"", ""coordinates"": [[[11.345492, 44.497786, 0], [11.345615, 44.497762, 0], [11.345641, 44.497846, 0], [11.345735, 44.497828, 0], [11.345774, 44.497917, 0], [11.345554, 44.49795, 0], [11.34553, 44.497866, 0], [11.345492, 44.497786, 0]]]}",-,Casa,-,1934,-,http://www.originebologna.com/strade/via-delle-ocche/n-1934,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,"44.4981600066, 11.3471993267","{""type"": ""Polygon"", ""coordinates"": [[[11.347168, 44.498227, 0], [11.347093, 44.498148, 0], [11.347171, 44.498097, 0], [11.347191, 44.498119, 0], [11.347266, 44.498095, 0], [11.34731, 44.498151, 0], [11.347225, 44.498189, 0], [11.347245, 44.498215, 0], [11.34719, 44.498243, 0], [11.347168, 44.498227, 0]]]}",-,Casa,-,2028,16,http://www.originebologna.com/strade/via-delle-moline/n-2028-2029,-,-,1,1,-,-,-,-,-,-,-,-,-,Bottega,Bottega,Barbiere,Merciaro e Tabaccaro,-
95,"44.4967556154, 11.3436881736","{""type"": ""Polygon"", ""coordinates"": [[[11.343624, 44.496796, 0], [11.343613, 44.496741, 0], [11.343754, 44.496716, 0], [11.343768, 44.496766, 0], [11.343713, 44.496774, 0], [11.343713, 44.496782, 0], [11.343624, 44.496796, 0]]]}",-,Casa,-,1724,1,http://www.originebologna.com/strade/via-delle-donzelle/n-1724,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,"44.499768627, 11.3445698658","{""type"": ""Polygon"", ""coordinates"": [[[11.344498, 44.499744, 0], [11.344551, 44.499733, 0], [11.344564, 44.499762, 0], [11.344596, 44.499757, 0], [11.344591, 44.499737, 0], [11.344627, 44.499732, 0], [11.344643, 44.499785, 0], [11.344526, 44.499807, 0], [11.344498, 44.499744, 0]]]}",-,Casa,-,2071,51,http://www.originebologna.com/strade/via-della-maddalena/n-2071,-,-,2,3,-,-,-,-,-,-,-,-,-,Treccolo,-,-,-,-
97,"44.4995376566, 11.3444823874","{""type"": ""Polygon"", ""coordinates"": [[[11.344376, 44.499485, 0], [11.344439, 44.49947, 0], [11.344509, 44.499452, 0], [11.344498, 44.499422, 0], [11.344532, 44.499413, 0], [11.344579, 44.49958, 0], [11.344489, 44.4996, 0], [11.344506, 44.499658, 0], [11.344458, 44.499668, 0], [11.344376, 44.499485, 0]]]}",Osteria delli Tre Vecchi,Casa,-,2069,47,http://www.originebologna.com/strade/via-della-maddalena/n-2069-2070,-,-,2,6,-,-,-,-,-,-,-,-,-,Osteria delli Tre Vecchi,-,-,-,-
98,"44.496340263, 11.333045537","{""type"": ""Polygon"", ""coordinates"": [[[11.333164, 44.496283, 0], [11.333183, 44.496318, 0], [11.332981, 44.496372, 0], [11.333002, 44.496401, 0], [11.332967, 44.496414, 0], [11.33292, 44.496349, 0], [11.332965, 44.496337, 0], [11.332969, 44.496352, 0], [11.332998, 44.496343, 0], [11.332985, 44.496332, 0], [11.333164, 44.496283, 0]]]}",-,Casa,-,1069,9,http://www.originebologna.com/strade/via-del-paradiso/n-1069,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,"44.4899091514, 11.3361885834","{""type"": ""Polygon"", ""coordinates"": [[[11.336118, 44.490048, 0], [11.33604, 44.48985, 0], [11.33608, 44.489841, 0], [11.336355, 44.489795, 0], [11.336366, 44.48983, 0], [11.336343, 44.489835, 0], [11.336362, 44.489899, 0], [11.336329, 44.489902, 0], [11.336319, 44.489865, 0], [11.336256, 44.489872, 0], [11.336268, 44.489912, 0], [11.336222, 44.48992, 0], [11.336264, 44.490014, 0], [11.336222, 44.490024, 0], [11.336118, 44.490048, 0]]]}",Convento delle Suore delle Grazie,Casa,-,346,2/2,http://www.originebologna.com/strade/via-dei-mussolini/n-346,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,"44.4890235596, 11.3424292616","{""type"": ""Polygon"", ""coordinates"": [[[11.342367, 44.48911, 0], [11.342315, 44.488955, 0], [11.342378, 44.488941, 0], [11.342395, 44.488997, 0], [11.34246, 44.488983, 0], [11.342448, 44.488961, 0], [11.342507, 44.488948, 0], [11.342551, 44.489056, 0], [11.342367, 44.48911, 0]]]}",-,Casa,-,"1010, 1011",1,http://www.originebologna.com/strade/via-dei-mattugliani/n-1010,-,-,1,-,-,-,-,-,-,-,1,-,-,Bottega,Fabbro,-,-,-
101,"44.4948540068, 11.3465010582","{""type"": ""Polygon"", ""coordinates"": [[[11.346657, 44.49486, 0], [11.346366, 44.494921, 0], [11.346337, 44.49485, 0], [11.346448, 44.494827, 0], [11.346467, 44.494861, 0], [11.346547, 44.494835, 0], [11.346522, 44.494797, 0], [11.346615, 44.494775, 0], [11.346657, 44.49486, 0]]]}",-,Casa,-,2616,4,http://www.originebologna.com/strade/via-dei-giudei/n-2615-2616,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,"44.4953241669, 11.346895676","{""type"": ""Polygon"", ""coordinates"": [[[11.346876, 44.495413, 0], [11.346835, 44.495341, 0], [11.346864, 44.495332, 0], [11.346841, 44.495294, 0], [11.34682, 44.495301, 0], [11.3468, 44.495274, 0], [11.346908, 44.495233, 0], [11.346983, 44.495375, 0], [11.346876, 44.495413, 0]]]}",-,Casa,-,2611,10,http://www.originebologna.com/strade/via-dei-giudei/n-2611,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,"44.4953595966, 11.3467756519","{""type"": ""Polygon"", ""coordinates"": [[[11.346674, 44.495323, 0], [11.346781, 44.495283, 0], [11.3468, 44.495274, 0], [11.34682, 44.495301, 0], [11.346807, 44.495306, 0], [11.346835, 44.495341, 0], [11.346876, 44.495413, 0], [11.346749, 44.495433, 0], [11.346674, 44.495323, 0]]]}",-,Casa,-,2623,4 via Canonica,http://www.originebologna.com/strade/via-dei-giudei/n-2611,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,"44.4935719414, 11.3410255421","{""type"": ""Polygon"", ""coordinates"": [[[11.341108, 44.493603, 0], [11.341078, 44.493609, 0], [11.340976, 44.493624, 0], [11.340951, 44.493538, 0], [11.341064, 44.493515, 0], [11.341077, 44.493568, 0], [11.341098, 44.493564, 0], [11.341108, 44.493603, 0]]]}",-,Casa,-,1428,2 Piazza Galileo,http://www.originebologna.com/strade/via-dei-gargiolari/n-1428-1429,-,-,3,-,-,-,-,-,-,-,-,-,-,Bottega,-,-,-,-
105,"44.4904333346, 11.3471242585","{""type"": ""Polygon"", ""coordinates"": [[[11.347048, 44.490515, 0], [11.347029, 44.49041, 0], [11.347131, 44.490393, 0], [11.347101, 44.490333, 0], [11.347164, 44.49032, 0], [11.347181, 44.490359, 0], [11.347138, 44.490369, 0], [11.347152, 44.490391, 0], [11.34719, 44.490384, 0], [11.347222, 44.490479, 0], [11.347048, 44.490515, 0]]]}",Casa Pasolini,Casa,-,450,1,http://www.originebologna.com/strade/via-dei-chiari/n-450,-,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,"44.4903859976, 11.3472558939","{""type"": ""Polygon"", ""coordinates"": [[[11.347222, 44.490479, 0], [11.347164, 44.49032, 0], [11.347289, 44.490292, 0], [11.347348, 44.490453, 0], [11.347222, 44.490479, 0]]]}","Casa Pasolini, poi Pasi, quindi Ratta",Casa,-,449,3,http://www.originebologna.com/strade/via-dei-chiari/n-449,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,"44.490352723, 11.3474136538","{""type"": ""Polygon"", ""coordinates"": [[[11.347348, 44.490453, 0], [11.347289, 44.490292, 0], [11.347382, 44.490259, 0], [11.347417, 44.490251, 0], [11.347439, 44.490288, 0], [11.34738, 44.490303, 0], [11.347399, 44.490334, 0], [11.347469, 44.490317, 0], [11.347429, 44.490247, 0], [11.347462, 44.490239, 0], [11.347553, 44.490407, 0], [11.347348, 44.490453, 0]]]}",-,Casa,-,448,5,http://www.originebologna.com/strade/via-dei-chiari/n-448,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,"44.4901857553, 11.3479223438","{""type"": ""Polygon"", ""coordinates"": [[[11.347936, 44.490296, 0], [11.347831, 44.490142, 0], [11.347783, 44.490114, 0], [11.347801, 44.490099, 0], [11.34785, 44.490133, 0], [11.34791, 44.490109, 0], [11.347839, 44.490064, 0], [11.347859, 44.490051, 0], [11.347902, 44.490075, 0], [11.347945, 44.490128, 0], [11.347991, 44.490184, 0], [11.34793, 44.490205, 0], [11.347948, 44.490226, 0], [11.348007, 44.490206, 0], [11.348043, 44.490259, 0], [11.347936, 44.490296, 0]]]}",-,Casa,-,445,11,http://www.originebologna.com/strade/via-dei-chiari/n-445,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
