ID,GEO_POINT_2D,GEO_SHAPE,ENTE,CODICE,ORDINANZA,STATO,AREA,CODARCO1,NOMEVIA1,CODARCO2,NOMEVIA2,CODARCO3,NOMEVIA3,CODARCO4,NOMEVIA4,CODARCO5,NOMEVIA5,CODARCO6,NOMEVIA6,CODARCO7,NOMEVIA7,IIDD,TIPOZTL
11,"44.4952524516, 11.3459501417","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.346120126427701, 44.49519304661033], [11.34610712624917, 44.49516004516486], [11.345673111995414, 44.495226115684055], [11.34568111198777, 44.495264118012855], [11.345930120059924, 44.49524007928274], [11.345979120686268, 44.495372085173], [11.3461121250854, 44.495346063415774], [11.346030123390884, 44.49521806241219], [11.346120126427701, 44.49519304661033]]]]}",,79,4000/343434,A,326,1422,VICOLO MANDRIA,8633,VICOLO TUBERTINI,1375,VICOLO TUBERTINI,,,,,,,,,38,Aree Pedonali
12,"44.4947300998, 11.3466653923","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.346888150736202, 44.495205934708046], [11.346946152737434, 44.495184923610246], [11.346890151603922, 44.49509892157681], [11.346850150780496, 44.49503892042965], [11.346813150020356, 44.49498291940754], [11.346765149018733, 44.494911918416285], [11.346731148275211, 44.494865918307944], [11.346709147921151, 44.49481891628002], [11.346683147497293, 44.49476391400737], [11.346619146437419, 44.49462990885025], [11.346592145961624, 44.494576907192084], [11.346764151832783, 44.494529873847675], [11.346531018860068, 44.49440547598287], [11.34644714317241, 44.494320902554016], [11.346515143563227, 44.49456691854252], [11.346554144227985, 44.49464692120118], [11.346592144850138, 44.494727924274564], [11.346615145188467, 44.494781926768674], [11.34663714558955, 44.494822927991606], [11.346683146423118, 44.49490893071381], [11.346714147056472, 44.494956931496496], [11.346783148563896, 44.49504993185748], [11.346839149726074, 44.495132933260486], [11.346888150736202, 44.495205934708046]]]]}",,12,4000/343434,A,863,5258,VIA DE' GIUDEI,1372,PIAZZA PORTA RAVEGNANA,8955,VIA DE' GIUDEI,1392,PIAZZA PORTA RAVEGNANA,8954,VIA DE' GIUDEI,,,,,45,Aree Pedonali
13,"44.4950835351, 11.3475279846","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.346874155621585, 44.49449585185665], [11.346764151825335, 44.494530873964734], [11.346781152177478, 44.49455687424904], [11.346964156459567, 44.494767870213586], [11.347156162840397, 44.494923792557564], [11.347181164113898, 44.494905770604774], [11.347447175010194, 44.49507157817695], [11.347406172507606, 44.495157620427115], [11.347496176046958, 44.49523655687344], [11.347453173896364, 44.495261594159906], [11.347498175273296, 44.49535556808307], [11.347455172892603, 44.495411608936955], [11.347508174969198, 44.495460571276276], [11.347558177598222, 44.4954145258419], [11.34757817860273, 44.4954025083852], [11.347629181165491, 44.49537146390712], [11.347714185426842, 44.49532039009491], [11.34779618952328, 44.495272319298074], [11.347838191622115, 44.4952472831057], [11.347903194869433, 44.495208227212856], [11.348454218597814, 44.495432801568], [11.34850522120048, 44.49539275736007], [11.348034200841568, 44.495211122344905], [11.347879194135018, 44.49515624158101], [11.347507178083097, 44.495025525376406], [11.3475241790688, 44.494996508747285], [11.347406174048636, 44.49494759711933], [11.347347171552817, 44.494921640981154], [11.347253167600275, 44.49487771033674], [11.347177164434754, 44.49483876578764], [11.346986157980623, 44.494659853554495], [11.346874155621585, 44.49449585185665]]]]}",,45,4000/343434,A,1875,8042,VIA ZAMBONI,8043,VIA ZAMBONI,1373,VIA ZAMBONI,1390,VIA ZAMBONI,8045,VIA ZAMBONI,,,,,49,Aree Pedonali
14,"44.4962267703, 11.3409229517","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.340806910498143, 44.49581380467589], [11.340838961710167, 44.49607782271141], [11.340818961112504, 44.49608082278513], [11.340912961963793, 44.49641683358412], [11.340944962920899, 44.49641183346016], [11.340965963094405, 44.49648983596565], [11.341081693931166, 44.49649857757542], [11.341028693148573, 44.4963475727275], [11.340954964262702, 44.49622382748709], [11.340951964169985, 44.496224827515654], [11.340957105429135, 44.496195523341555], [11.340886963143445, 44.496070822540894], [11.340857420390957, 44.49583665229107], [11.340806910498143, 44.49581380467589]]]]}",,87,4000/343434,A,357,1303,VIA DE' GESSI,,,,,,,,,,,,,,Aree Pedonali
15,"44.4954685023, 11.3406419351","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.34069695984324, 44.49567380969366], [11.340758961571908, 44.495686810174796], [11.340747961498224, 44.495642808761936], [11.340713961058, 44.49554480560489], [11.340678960510347, 44.49546080289259], [11.340652960090035, 44.49540080095422], [11.340600959271528, 44.4952767969503], [11.340527957094134, 44.49528679719003], [11.340579957784374, 44.49543380192605], [11.340609958181354, 44.49551880466459], [11.340640959104466, 44.49551480457075], [11.340653959286682, 44.49554980569914], [11.340670959495702, 44.495600807341305], [11.340684959684564, 44.49563980859814], [11.34069695984324, 44.49567380969366]]]]}",,47,4000/343434,A,265,1236,VIA CALCAVINAZZI,,,,,,,,,,,,,,Aree Pedonali
16,"44.4960224162, 11.3503584271","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.35018029971847, 44.49605270742038], [11.350355307568046, 44.496117562089346], [11.350386308994581, 44.49612253623068], [11.35040931008309, 44.49612051701666], [11.350427310989536, 44.49610850194942], [11.350540316846176, 44.495999407744385], [11.350314306752594, 44.495909594833044], [11.35023230244883, 44.49599766357213], [11.35020330093568, 44.49602668798217], [11.35018029971847, 44.49605270742038]]]]}",,,4000/343434,A,375,,PIAZZA GIUSEPPE VERDI,,,,,,,,,,,,,,Aree Pedonali
17,"44.4975426511, 11.3534079872","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.35338147784664, 44.49735039540218], [11.353344475062876, 44.49738246768696], [11.353242467392032, 44.49746966711999], [11.353199464161376, 44.49750575122122], [11.353167461821311, 44.49752681223039], [11.353244465578399, 44.49764171246978], [11.353331470593448, 44.4977045801315], [11.353652492405025, 44.497642009387896], [11.353551487893256, 44.497449131205755], [11.353530486858334, 44.497418158814135], [11.353500485134653, 44.497396204247316], [11.35338147784664, 44.49735039540218]]]]}",,,4000/343434,A,921,,PIAZZA VITTORIO PUNTONI,,,,,,,,,,,,,,Aree Pedonali
18,"44.5040636005, 11.3448109742","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.344384026574131, 44.503833076123506], [11.344410027075096, 44.50391007959733], [11.344536029428953, 44.504305097505274], [11.344565030019375, 44.50438610037323], [11.3446280313106, 44.50455910650019], [11.344629031333342, 44.50456110657134], [11.344633031421326, 44.504570106891016], [11.344637031512335, 44.5045781071757], [11.34464303166096, 44.50458610746287], [11.344648031777737, 44.50459510778374], [11.344655031958212, 44.50460210803722], [11.344661032106828, 44.504610108324364], [11.344668032287295, 44.50461710857785], [11.344676032496563, 44.504624108832516], [11.344684032705832, 44.50463110908724], [11.344693032943905, 44.50463810934317], [11.344702033185015, 44.504644109564154], [11.344712033454925, 44.50465010978637], [11.344721033696024, 44.504656110007325], [11.344732033997772, 44.50466111019582], [11.344742034270713, 44.50466611038307], [11.34475303457549, 44.504670110536615], [11.344759034739257, 44.50467311064899], [11.344770035044021, 44.504677110802504], [11.3447810353488, 44.50468111095606], [11.34479303568239, 44.504685111110845], [11.34480403599019, 44.50468811122941], [11.344816036326794, 44.50469111134923], [11.344829036695256, 44.50469311143533], [11.344841037034893, 44.504695111520164], [11.344853037374538, 44.504697111605005], [11.34486603774603, 44.50469811165615], [11.344878038091743, 44.504698111671054], [11.344891038466265, 44.50469811168721], [11.344903038811978, 44.50469811170211], [11.34491603918954, 44.50469711168331], [11.344928039538296, 44.50469611166326], [11.34493103962472, 44.50469611166695], [11.344943039973476, 44.5046951116469], [11.344956040351038, 44.5046941116281], [11.344968040702833, 44.504692111573085], [11.344980041054622, 44.50469011151803], [11.344992041409467, 44.50468711142805], [11.345004041764291, 44.504684111338015], [11.345016042119141, 44.50468111124801], [11.345027042448214, 44.50467711112177], [11.345039042806096, 44.504673110996805], [11.345049043106364, 44.50466911086933], [11.345060043438489, 44.504664110708134], [11.345070043741796, 44.504659110545674], [11.345080044048157, 44.504653110348265], [11.345090044354519, 44.50464711015086], [11.345099044632068, 44.50464110995218], [11.345107044880812, 44.50463510975224], [11.345116045161411, 44.50462810951864], [11.345124045413202, 44.50462110928374], [11.34513104563923, 44.504613109012645], [11.34513104563923, 44.504613109012645], [11.34514104594561, 44.50460710881521], [11.345149046197411, 44.5046001085803], [11.345157046449211, 44.504593108345425], [11.345164046672206, 44.50458610810927], [11.345171046898248, 44.50457810783815], [11.34517704709548, 44.50457010756579], [11.345182047263895, 44.504562107292195], [11.34518704743232, 44.5045541070186], [11.345190047546161, 44.50454510670753], [11.345193047660008, 44.50453610639648], [11.345196047770806, 44.50452810612039], [11.345197047827028, 44.504519105806864], [11.345198047883242, 44.50451010549333], [11.345174047587465, 44.504380100916805], [11.345085046195203, 44.50402308417015], [11.345052046137205, 44.50375907055929], [11.344946044343857, 44.503381051727104], [11.344501031220762, 44.50344705775405], [11.344584032464883, 44.50380007403378], [11.344384026574131, 44.503833076123506]]]]}",,85,4000/343434,A,6285,9633,PIAZZA XX SETTEMBRE,,,,,,,,,,,,,,Aree Pedonali
19,"44.4942665817, 11.3468071546","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.34705835822898, 44.494417710155254], [11.34699916447498, 44.49437611391367], [11.347042166010294, 44.494359104658955], [11.347087410789635, 44.494310756004616], [11.346887405986577, 44.49403277815537], [11.346792159815667, 44.49409911575456], [11.346625372531227, 44.49413025375372], [11.346567171477847, 44.494171628215014], [11.346533985993139, 44.49422543618119], [11.34653800343391, 44.494278563125896], [11.346654368056772, 44.49441390426317], [11.346714873859542, 44.494448548843856], [11.34705835822898, 44.494417710155254]]]]}",,13,4000/343434,A,606,1380,PIAZZA PORTA RAVEGNANA,,,,,,,,,,,,,,Aree Pedonali
20,"44.4948275591, 11.3348674918","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.33523079729572, 44.49515563176562], [11.334967586761074, 44.49447719149184], [11.334506667021584, 44.49457161292259], [11.334716971189849, 44.49508226704547], [11.334752993338673, 44.49510556764589], [11.334795662016452, 44.49512207032327], [11.33523079729572, 44.49515563176562]]]]}",,,,,,,,,,,,,,,,,,,,,Aree Pedonali
